grass,player_1;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;stone_wall
stone_wall;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;stone_wall
grass;grass;grass,player_3;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass,enemy_1_shooter;grass;grass;grass;stone_wall
grass,player_2;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;stone_wall
grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;stone_wall;stone_wall;stone_wall;stone_wall;grass;grass;stone_wall
grass;grass,player_6;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;stone_wall
grass;grass;grass;grass;grass;grass;grass;stone_wall;stone_wall;stone_wall;stone_wall;grass;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;grass;grass;grass;grass;grass;grass;grass;grass;grass;stone_wall
grass,player_5;grass;grass;grass;grass;grass;grass;stone_wall;grass;grass;grass;grass;stone_wall;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass,enemy_2_beetle;grass;grass;stone_wall
grass;grass;grass;grass;grass;grass;stone_wall;stone_wall;grass;grass;grass;grass;stone_wall;grass;grass;grass;grass;grass;grass;grass,enemy_1_shooter;grass;grass;grass;grass;grass;grass;grass;grass,enemy_2_rat;stone_wall
grass;grass;grass;grass;grass;grass;stone_wall;stone_wall;grass;grass;grass;grass;stone_wall;grass;grass;grass;grass;grass;grass,enemy_1_shooter;grass;grass,enemy_1_militia;grass;grass,enemy_1_tramp;grass;grass;grass;grass;grass;stone_wall
grass;grass;grass;grass;grass;grass;stone_wall;stone_wall;grass;grass;grass;grass;stone_wall;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;stone_wall;grass,enemy_2_rat;grass;grass;grass;stone_wall
grass,player_4;grass;grass;grass;grass;grass;stone_wall;grass;grass;grass;grass;grass;stone_wall;grass;stone_wall;stone_wall;stone_wall;stone_wall;grass;grass,enemy_1_tramp;grass;grass;grass;stone_wall;grass;grass;grass;grass;stone_wall
grass;grass;grass;grass;grass;grass;stone_wall;grass;grass;grass;grass;grass;stone_wall;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;stone_wall;grass,enemy_1_militia;grass;grass;grass;stone_wall
grass;grass;grass;grass;grass;grass;stone_wall;grass;grass;grass;grass;grass;stone_wall;grass;grass;grass;grass;grass,enemy_1_dealer;grass;grass;grass,enemy_1_militia;grass;grass;stone_wall;grass;grass;grass,enemy_2_beetle;grass;stone_wall
grass;grass;grass;grass;grass;grass;stone_wall;grass;grass;grass;grass;grass;stone_wall;grass;grass;grass;grass;grass;grass,enemy_1_militia;grass;grass;grass;grass;stone_wall;grass,enemy_2_rat;grass;grass;grass;stone_wall
grass;grass;grass;grass;grass;grass;stone_wall;grass;grass;grass;grass;grass;stone_wall;grass;grass;grass;grass;grass,enemy_1_dog;grass;grass;grass;grass;grass;stone_wall;grass;grass;grass;grass;stone_wall
grass;grass;grass;grass;grass;grass;stone_wall;grass;grass;grass;grass;grass;stone_wall;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;stone_wall;grass;grass,enemy_2_bonecracker;grass;grass;stone_wall
grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass,enemy_1_militia;grass;grass,enemy_1_beastman;grass;grass;grass;grass,enemy_2_rat;grass;grass;grass;stone_wall
grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;stone_wall
stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall;stone_wall
